Date,Open,High,Low,Close,Adj Close,Volume
2020-02-11,31.760000,32.259998,31.570000,32.009998,30.820162,45207900
2020-02-12,32.360001,32.680000,32.060001,32.549999,31.340090,38797800
2020-02-13,32.150002,32.540001,31.709999,31.930000,30.743135,17443900
2020-02-14,32.049999,32.119999,31.490000,31.620001,30.444660,13541400
2020-02-17,31.840000,31.930000,31.500000,31.700001,30.521687,8665500
2020-02-18,31.330000,32.049999,31.080000,31.940001,30.752766,13297300
2020-02-19,31.990000,32.650002,31.900000,32.570000,31.359344,11667500
2020-02-20,32.869999,33.000000,31.639999,31.750000,30.569828,23046400
2020-02-21,31.510000,31.510000,30.559999,30.850000,29.703281,18867600
2020-02-26,null,null,null,null,null,null
2020-02-27,27.410000,28.040001,26.290001,26.830000,25.832706,40110500
2020-02-28,26.610001,27.150000,25.920000,27.150000,26.140812,38536600
2020-03-02,27.150000,28.280001,27.080000,28.100000,27.055502,26816900
2020-03-03,28.040001,28.860001,27.100000,27.500000,26.477802,35873100
2020-03-04,28.320000,28.400000,27.610001,28.219999,27.171040,25863400
2020-03-05,27.700001,27.980000,26.209999,26.809999,25.813450,27389300
2020-03-06,25.680000,25.680000,23.719999,24.059999,23.165670,56848700
2020-03-09,19.000000,19.490000,16.440001,16.920000,16.291071,109454100
2020-03-10,19.450001,19.750000,17.100000,18.360001,17.677546,83066000
2020-03-11,17.480000,18.049999,15.630000,16.370001,15.761515,56828900
2020-03-12,13.610000,13.850000,11.630000,12.920000,12.439754,51350100
2020-03-13,15.500000,15.860000,13.130000,15.860000,15.270471,59680500
2020-03-16,13.990000,14.670000,13.100000,13.130000,12.641948,39799500
2020-03-17,13.660000,14.110000,13.000000,13.080000,12.593806,53299000
2020-03-18,11.700000,12.200000,10.500000,11.050000,10.639262,73690700
2020-03-19,11.000000,13.050000,10.500000,12.450000,11.987224,68539000
2020-03-20,13.150000,13.470000,11.850000,12.220000,11.765774,38966200
2020-03-23,12.300000,12.340000,11.420000,11.620000,11.188075,29323500
2020-03-24,12.640000,13.750000,12.460000,13.470000,12.969310,33763400
2020-03-25,13.450000,15.040000,13.220000,14.550000,14.009165,40007400
2020-03-26,14.450000,15.330000,13.920000,14.600000,14.057306,39215400
2020-03-27,13.300000,13.850000,13.030000,13.030000,12.545664,50173700
2020-03-30,12.900000,13.620000,12.500000,13.440000,12.940423,47594300
2020-03-31,13.580000,14.750000,13.530000,14.140000,13.614405,46418700
2020-04-01,13.600000,14.490000,13.410000,14.210000,13.681803,28742500
2020-04-02,15.390000,16.660000,14.920000,15.430000,14.856455,57104700
2020-04-03,16.350000,16.379999,14.810000,15.320000,14.750543,38437600
2020-04-06,16.049999,16.150000,15.390000,16.150000,15.549691,38566600
2020-04-07,16.990000,17.340000,16.440001,16.559999,15.944451,34378000
2020-04-08,16.629999,17.860001,16.540001,17.500000,16.849512,29341000
2020-04-09,18.030001,18.799999,16.680000,16.860001,16.233301,44119700
2020-04-13,17.090000,17.389999,16.639999,17.299999,16.656942,24196800
2020-04-14,17.430000,17.690001,16.959999,17.180000,16.541407,19421300
2020-04-15,16.350000,16.840000,16.209999,16.620001,16.002220,38442400
2020-04-16,16.920000,16.980000,15.860000,16.129999,15.530435,22075700
2020-04-17,16.200001,16.760000,15.930000,16.700001,16.079248,24906500
2020-04-20,15.980000,17.020000,15.790000,16.549999,15.934822,37175900
2020-04-22,16.400000,17.160000,16.350000,17.150000,16.512520,19763600
2020-04-23,17.600000,17.879999,17.090000,17.340000,16.926056,19498900
2020-04-24,17.100000,17.250000,15.520000,16.070000,15.686373,39716700
2020-04-27,16.370001,16.920000,15.970000,16.799999,16.398947,25446600
2020-04-28,17.490000,18.020000,17.110001,18.020000,17.837908,24004700
2020-04-29,18.510000,19.299999,18.350000,19.000000,18.808004,26938000
2020-04-30,18.730000,19.180000,18.430000,18.650000,18.461540,23209200
2020-05-04,17.950001,18.309999,17.740000,18.049999,17.867603,17952300
2020-05-05,18.520000,19.139999,18.520000,18.670000,18.481339,18728700
2020-05-06,18.750000,18.820000,17.900000,17.940001,17.758715,19890500
2020-05-07,18.530001,18.730000,18.160000,18.299999,18.115076,32296200
2020-05-08,18.700001,19.650000,18.600000,19.549999,19.352446,21161300
2020-05-11,19.379999,19.830000,18.990000,19.030001,18.837702,23059300
2020-05-12,19.379999,19.570000,18.870001,18.870001,18.679317,20641000
2020-05-13,18.959999,19.129999,18.010000,18.129999,17.946795,20723300
2020-05-14,17.950001,17.950001,17.100000,17.690001,17.511242,33197200
2020-05-15,18.000000,18.799999,17.700001,17.700001,17.521141,34890800
2020-05-18,18.750000,19.500000,18.530001,19.420000,19.223759,25804600
2020-05-19,19.490000,19.850000,19.230000,19.299999,19.104971,18126400
2020-05-20,19.660000,20.200001,19.660000,19.879999,19.679110,14715100
2020-05-21,20.080000,20.420000,19.660000,19.950001,19.748405,19480400
2020-05-22,19.629999,19.770000,19.070000,19.520000,19.322750,14356600
2020-05-25,20.459999,20.459999,20.209999,20.340000,20.134462,6791800
2020-05-26,20.850000,20.920000,20.190001,20.549999,20.342340,20457400
2020-05-27,20.610001,20.770000,19.930000,20.650000,20.441330,17549200
2020-05-28,20.490000,20.910000,20.309999,20.559999,20.352240,14941700
2020-05-29,20.320000,20.840000,20.059999,20.840000,20.629410,40906600
2020-06-01,20.670000,21.150000,20.459999,20.950001,20.738300,16933500
2020-06-02,21.309999,21.860001,21.100000,21.860001,21.639103,16405100
2020-06-03,22.360001,22.389999,21.959999,22.059999,21.837082,18771700
2020-06-04,22.020000,22.620001,21.559999,22.160000,21.936071,24417700
2020-06-05,23.000000,23.830000,22.809999,22.850000,22.619099,26623200
2020-06-08,23.330000,23.400000,22.750000,23.350000,23.114046,19812000
2020-06-09,22.840000,22.940001,22.500000,22.690001,22.460716,18562600
2020-06-10,22.879999,22.879999,21.879999,22.020000,21.797487,26428300
2020-06-12,21.049999,21.770000,20.700001,21.240000,21.025368,26514800
2020-06-15,20.580000,21.780001,20.100000,21.320000,21.104559,21227100
2020-06-16,22.180000,22.760000,21.940001,22.200001,21.975668,22219100
2020-06-17,22.320000,22.750000,22.000000,22.250000,22.025162,13697000
2020-06-18,22.059999,22.700001,21.940001,22.600000,22.371626,10305800
2020-06-19,22.990000,23.209999,22.139999,22.280001,22.054859,24275800
2020-06-22,22.490000,22.510000,21.809999,21.870001,21.649002,8866000
2020-06-23,22.160000,23.070000,22.000000,22.510000,22.282536,13268400
2020-06-24,22.400000,22.430000,21.590000,21.910000,21.688599,10911200
2020-06-25,21.840000,22.370001,21.580000,22.370001,22.143950,11952600
2020-06-26,22.100000,22.420000,21.719999,21.879999,21.658899,14021000
2020-06-29,22.080000,22.610001,21.940001,22.559999,22.332029,10418000
2020-06-30,22.170000,22.629999,21.850000,22.340000,22.114252,20251000
2020-07-01,22.500000,22.980000,22.260000,22.360001,22.134050,17833100
2020-07-02,22.740000,22.870001,22.469999,22.639999,22.411221,13406400
2020-07-03,22.549999,22.760000,22.480000,22.500000,22.272636,3200700
2020-07-06,22.980000,23.530001,22.860001,23.150000,22.916067,15354300
2020-07-07,22.959999,23.049999,22.750000,22.760000,22.530008,9997800
2020-07-08,23.000000,23.450001,22.950001,23.320000,23.084349,11690600
2020-07-09,23.450001,23.540001,22.639999,22.650000,22.421120,11527200
2020-07-10,22.780001,23.180000,22.600000,23.000000,22.767584,8368200
2020-07-13,23.170000,23.340000,22.850000,22.850000,22.619099,11151500
2020-07-14,22.840000,23.820000,22.540001,23.639999,23.401115,16374800
2020-07-15,23.969999,24.200001,23.680000,24.200001,23.955458,12116700
2020-07-16,23.980000,24.090000,23.370001,23.629999,23.391216,12401500
2020-07-17,23.700001,23.940001,23.520000,23.650000,23.411015,13702100
2020-07-20,23.639999,23.730000,23.320000,23.500000,23.262531,11887100
2020-07-21,23.900000,24.480000,23.820000,23.990000,23.747580,24583500
2020-07-22,23.889999,24.070000,23.559999,23.740000,23.500105,15724100
2020-07-23,23.600000,23.770000,23.219999,23.230000,23.230000,15366800
2020-07-24,23.270000,23.690001,23.049999,23.330000,23.330000,11202000
2020-07-27,23.440001,23.850000,23.010000,23.770000,23.770000,10020200
2020-07-28,23.590000,23.879999,23.309999,23.389999,23.389999,9507300
2020-07-29,23.549999,23.870001,23.450001,23.830000,23.830000,9032300
2020-07-30,23.549999,23.639999,23.030001,23.320000,23.320000,13691300
2020-07-31,23.450001,23.780001,22.590000,22.700001,22.700001,25323500
2020-08-03,22.969999,23.080000,22.330000,22.340000,22.340000,16561200
2020-08-04,22.129999,22.670000,21.940001,22.309999,22.309999,16586800
2020-08-05,22.750000,23.870001,22.700001,23.750000,23.750000,44277000
2020-08-06,23.780001,24.170000,23.639999,23.830000,23.830000,17470300
2020-08-07,23.559999,23.620001,23.110001,23.309999,23.309999,16420700
2020-08-10,23.410000,24.129999,23.150000,24.100000,24.100000,16654100
2020-08-11,24.270000,24.610001,23.690001,23.690001,23.690001,15138500
2020-08-12,24.000000,24.230000,23.700001,24.049999,24.049999,14834600
2020-08-13,24.100000,24.180000,23.200001,23.340000,23.340000,11957400
2020-08-14,23.299999,23.540001,23.160000,23.250000,23.250000,12297300
2020-08-17,23.219999,23.400000,22.799999,23.260000,23.260000,11937500
2020-08-18,23.549999,23.900000,23.360001,23.610001,23.610001,13219200
2020-08-19,23.600000,24.030001,23.360001,23.510000,23.510000,17315000
2020-08-20,23.170000,23.549999,22.910000,23.260000,23.260000,19591900
2020-08-21,23.150000,23.209999,22.830000,23.080000,23.080000,12868800
2020-08-24,23.379999,23.719999,23.330000,23.540001,23.540001,15004200
2020-08-25,23.690001,23.750000,23.250000,23.430000,23.430000,8217700
2020-08-26,23.320000,23.469999,22.610001,22.760000,22.760000,13088700
2020-08-27,22.820000,23.040001,22.580000,22.650000,22.650000,11909800
2020-08-28,22.750000,23.110001,22.570000,23.110001,23.110001,12865800
2020-08-31,22.910000,22.980000,22.320000,22.320000,22.320000,19268400
2020-09-01,22.650000,23.420000,22.580000,23.360001,23.360001,16551800
2020-09-02,23.430000,23.610001,22.930000,23.299999,23.299999,15584800
2020-09-03,23.110001,23.690001,23.000000,23.299999,23.299999,25692800
2020-09-04,23.299999,23.490000,22.910000,23.330000,23.330000,39603600
2020-09-08,22.879999,22.889999,22.170000,22.520000,22.520000,25332200
2020-09-09,22.760000,23.080000,22.700001,23.020000,23.020000,16878600
2020-09-10,22.820000,22.870001,22.150000,22.150000,22.150000,23363000
2020-09-11,22.059999,22.340000,21.830000,22.040001,22.040001,32838100
2020-09-14,22.070000,22.160000,21.520000,21.820000,21.820000,17258800
2020-09-15,22.170000,22.170000,21.700001,21.870001,21.870001,11694700
2020-09-16,22.080000,22.290001,21.730000,21.950001,21.950001,15243600
2020-09-17,21.719999,22.440001,21.700001,22.440001,22.440001,19604800
2020-09-18,22.190001,22.400000,21.790001,21.940001,21.940001,28690200
2020-09-21,21.629999,21.760000,21.120001,21.280001,21.280001,18287300
2020-09-22,21.320000,21.690001,21.150000,21.270000,21.270000,16150700
2020-09-23,21.270000,21.469999,20.750000,20.750000,20.750000,20264800
2020-09-24,20.780001,21.219999,20.559999,20.900000,20.900000,19709300
2020-09-25,20.690001,20.860001,20.400000,20.680000,20.680000,10833600
2020-09-28,20.840000,21.040001,20.180000,20.180000,20.180000,20936100
2020-09-29,20.150000,20.280001,19.570000,19.610001,19.610001,17702700
2020-09-30,19.750000,20.250000,19.750000,19.770000,19.770000,22725300
2020-10-01,19.799999,20.090000,19.240000,19.950001,19.950001,30235400
2020-10-02,19.799999,19.799999,19.180000,19.180000,19.180000,23539800
2020-10-05,19.500000,20.250000,19.370001,20.120001,20.120001,23219600
2020-10-06,20.530001,20.790001,19.990000,19.990000,19.990000,16227900
2020-10-07,20.090000,20.120001,19.610001,19.910000,19.910000,13911100
2020-10-08,20.180000,20.629999,19.959999,20.590000,20.590000,25522600
2020-10-09,20.440001,20.469999,19.889999,19.910000,19.910000,19644400
2020-10-13,19.980000,20.170000,19.770000,20.129999,20.129999,14042000
2020-10-14,20.120001,20.459999,20.010000,20.010000,20.010000,13848200
2020-10-15,19.650000,19.840000,19.459999,19.790001,19.790001,15960200
2020-10-16,19.799999,19.799999,19.299999,19.299999,19.299999,13771800
2020-10-19,19.420000,19.930000,19.270000,19.510000,19.510000,16348400
2020-10-20,19.559999,20.299999,19.530001,20.180000,20.180000,19118100
2020-10-21,20.160000,20.309999,19.799999,20.170000,20.170000,15932500
2020-10-22,20.170000,20.820000,20.030001,20.809999,20.809999,20037400
2020-10-23,20.850000,21.070000,20.430000,20.490000,20.490000,20676500
2020-10-26,20.290001,20.500000,19.930000,20.200001,20.200001,11999300
2020-10-27,20.200001,20.320000,19.780001,19.860001,19.860001,15695700
2020-10-28,19.379999,19.440001,18.639999,18.639999,18.639999,31146900
2020-10-29,18.530001,19.440001,17.740000,19.330000,19.330000,23623300
2020-10-30,19.100000,19.570000,18.940001,19.000000,19.000000,19693000
2020-11-03,19.549999,19.920000,19.440001,19.750000,19.750000,19668700
2020-11-04,20.049999,20.129999,19.320000,19.840000,19.840000,17728100
2020-11-05,20.070000,20.090000,19.760000,19.940001,19.940001,11439300
2020-11-06,19.629999,19.980000,19.590000,19.870001,19.870001,13781400
2020-11-09,21.010000,22.480000,21.010000,21.900000,21.900000,40041000
